subj_id,qual_col,TextResp,measure,row,Name
R_dbuBKRXlnjouSRD,NameResp_TEXT(2),train,NameResp_TEXT,2,train
R_81i04UQTtFxOXlz,NameResp_TEXT(2),a railroad track ,NameResp_TEXT,2,train
R_aflUaQ1v901DTZb,NameResp_TEXT(2),Piano,NameResp_TEXT,2,train
R_8cU5NCG2ysTIeFf,NameResp_TEXT(2),piano,NameResp_TEXT,2,train
R_9movxfJr3JHx4c5,NameResp_TEXT(2),train,NameResp_TEXT,2,train
R_6zZuvVsaXiYicmh,NameResp_TEXT(2),train,NameResp_TEXT,2,train
R_7Os34FuyUOKUtAV,NameResp_TEXT(2),,NameResp_TEXT,2,train
R_6tIMcOQsORkQnuB,NameResp_TEXT(2),,NameResp_TEXT,2,train
R_e9a4GNsvoZJ49mZ,NameResp_TEXT(2),piano,NameResp_TEXT,2,train
R_cAPsFbVcU6FKEpT,NameResp_TEXT(2),train on elevated track,NameResp_TEXT,2,train
R_cO0dBs5ofX0BOpT,NameResp_TEXT(2),piano,NameResp_TEXT,2,train
R_6Yb3oRlkWUQ0xkF,NameResp_TEXT(2),overlooking a neighbor hood from a bridge,NameResp_TEXT,2,train
R_5A3PjLiZbWfA6Tb,NameResp_TEXT(2),Trombone ,NameResp_TEXT,2,train
R_0cuIBoqJYSnYnLT,NameResp_TEXT(2),train,NameResp_TEXT,2,train
R_9KSFfd62afsuieF,NameResp_TEXT(2),bed,NameResp_TEXT,2,train
R_02GRIQd5MDRenPf,NameResp_TEXT(2),train,NameResp_TEXT,2,train
R_bjv98vU4STp6zQx,NameResp_TEXT(2),bridge,NameResp_TEXT,2,train
R_9KB1XzOy6rP7O1D,NameResp_TEXT(2),train,NameResp_TEXT,2,train
R_eX2Q9p9ZqgsYVLv,NameResp_TEXT(2),,NameResp_TEXT,2,train
R_eDMsuefXH4Nvbhz,NameResp_TEXT(2),,NameResp_TEXT,2,train
R_cGTSCS88UP99f0x,NameResp_TEXT(2),,NameResp_TEXT,2,train
R_6ujqTETwTzRExX7,NameResp_TEXT(2),a piano,NameResp_TEXT,2,train
R_1NfgfYV1GvFsWiN,NameResp_TEXT(2),,NameResp_TEXT,2,train
R_0TiNGME0OVqJO3H,NameResp_TEXT(2),,NameResp_TEXT,2,train
R_0ih7r0MXsn7mCSV,NameResp_TEXT(2),a trombone,NameResp_TEXT,2,train
R_aWcEn0nidpymQER,NameResp_TEXT(2),house,NameResp_TEXT,2,train
R_9FZPEV6r7ezLOSN,NameResp_TEXT(2),houses,NameResp_TEXT,2,train
R_6zhc96D1g2EpM2h,NameResp_TEXT(2),pool table,NameResp_TEXT,2,train
R_2a6HPCAFPrB4mIR,NameResp_TEXT(2),,NameResp_TEXT,2,train
R_8nQqGUmR9MT1CTP,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_0NWkLPKVngfskaV,NameResp_TEXT(3),MLKJ,NameResp_TEXT,3,balloon
R_2tvsWbcRX5R84ap,NameResp_TEXT(3),balloon,NameResp_TEXT,3,balloon
R_1TCKelAGYh94Ppr,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_5uoQgdmI1psnW97,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(3),a cowboy kicking up dust with his vehicle,NameResp_TEXT,3,balloon
R_03dyKKqahwimd1z,NameResp_TEXT(3),balloon,NameResp_TEXT,3,balloon
R_4I5pqYdhVgOKFKd,NameResp_TEXT(3),person's face,NameResp_TEXT,3,balloon
R_1EWCq1k7UFauhNj,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_81xh6ldt0VxOPHL,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_9KLkobZ9kYZSzYh,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_4T9SzDwjzOtlmrX,NameResp_TEXT(3),balloon,NameResp_TEXT,3,balloon
R_eFBfDt4acLjjVQh,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_3jv8dkv5pkIe4f3,NameResp_TEXT(3),skull,NameResp_TEXT,3,balloon
R_9NNGTs03HOOrLhz,NameResp_TEXT(3),the devil,NameResp_TEXT,3,balloon
R_9QAIH8o5XKYkAFD,NameResp_TEXT(3),person,NameResp_TEXT,3,balloon
R_8hQIw8oM3sZtlUV,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_dbuBKRXlnjouSRD,NameResp_TEXT(3),gold,NameResp_TEXT,3,balloon
R_81i04UQTtFxOXlz,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_aflUaQ1v901DTZb,NameResp_TEXT(3),balloon,NameResp_TEXT,3,balloon
R_8cU5NCG2ysTIeFf,NameResp_TEXT(3),dog and flowers,NameResp_TEXT,3,balloon
R_9movxfJr3JHx4c5,NameResp_TEXT(3),flowers,NameResp_TEXT,3,balloon
R_6zZuvVsaXiYicmh,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_7Os34FuyUOKUtAV,NameResp_TEXT(3),panda bear,NameResp_TEXT,3,balloon
R_6tIMcOQsORkQnuB,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_e9a4GNsvoZJ49mZ,NameResp_TEXT(3),Row of seats in a theater,NameResp_TEXT,3,balloon
R_cAPsFbVcU6FKEpT,NameResp_TEXT(3),person's head from side,NameResp_TEXT,3,balloon
R_cO0dBs5ofX0BOpT,NameResp_TEXT(3),baby,NameResp_TEXT,3,balloon
R_6Yb3oRlkWUQ0xkF,NameResp_TEXT(3),ghost,NameResp_TEXT,3,balloon
R_5A3PjLiZbWfA6Tb,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_0cuIBoqJYSnYnLT,NameResp_TEXT(3),jellyfish,NameResp_TEXT,3,balloon
R_9KSFfd62afsuieF,NameResp_TEXT(3),octopus,NameResp_TEXT,3,balloon
R_02GRIQd5MDRenPf,NameResp_TEXT(3),face,NameResp_TEXT,3,balloon
R_bjv98vU4STp6zQx,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_9KB1XzOy6rP7O1D,NameResp_TEXT(3),head,NameResp_TEXT,3,balloon
R_eX2Q9p9ZqgsYVLv,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_eDMsuefXH4Nvbhz,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_cGTSCS88UP99f0x,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_6ujqTETwTzRExX7,NameResp_TEXT(3),a baby,NameResp_TEXT,3,balloon
R_1NfgfYV1GvFsWiN,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_0TiNGME0OVqJO3H,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_0ih7r0MXsn7mCSV,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_aWcEn0nidpymQER,NameResp_TEXT(3),man,NameResp_TEXT,3,balloon
R_9FZPEV6r7ezLOSN,NameResp_TEXT(3),,NameResp_TEXT,3,balloon
R_6zhc96D1g2EpM2h,NameResp_TEXT(3),a skull,NameResp_TEXT,3,balloon
R_2a6HPCAFPrB4mIR,NameResp_TEXT(3),owl,NameResp_TEXT,3,balloon
R_8nQqGUmR9MT1CTP,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_0NWkLPKVngfskaV,NameResp_TEXT(4),moped,NameResp_TEXT,4,backpack
R_2tvsWbcRX5R84ap,NameResp_TEXT(4),backpack,NameResp_TEXT,4,backpack
R_1TCKelAGYh94Ppr,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_5uoQgdmI1psnW97,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(4),"cars, traffic jam",NameResp_TEXT,4,backpack
R_03dyKKqahwimd1z,NameResp_TEXT(4),house,NameResp_TEXT,4,backpack
R_4I5pqYdhVgOKFKd,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_1EWCq1k7UFauhNj,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_81xh6ldt0VxOPHL,NameResp_TEXT(4),backpack,NameResp_TEXT,4,backpack
R_9KLkobZ9kYZSzYh,NameResp_TEXT(4),car seat,NameResp_TEXT,4,backpack
R_4T9SzDwjzOtlmrX,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_eFBfDt4acLjjVQh,NameResp_TEXT(4),backpack,NameResp_TEXT,4,backpack
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_3jv8dkv5pkIe4f3,NameResp_TEXT(4),a backpack ,NameResp_TEXT,4,backpack
R_9NNGTs03HOOrLhz,NameResp_TEXT(4),a city in the night sky,NameResp_TEXT,4,backpack
R_9QAIH8o5XKYkAFD,NameResp_TEXT(4),person,NameResp_TEXT,4,backpack
R_8hQIw8oM3sZtlUV,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_dbuBKRXlnjouSRD,NameResp_TEXT(4),backpack,NameResp_TEXT,4,backpack
R_81i04UQTtFxOXlz,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_aflUaQ1v901DTZb,NameResp_TEXT(4),doorway,NameResp_TEXT,4,backpack
R_8cU5NCG2ysTIeFf,NameResp_TEXT(4),train,NameResp_TEXT,4,backpack
R_9movxfJr3JHx4c5,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_6zZuvVsaXiYicmh,NameResp_TEXT(4),backpack,NameResp_TEXT,4,backpack
R_7Os34FuyUOKUtAV,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_6tIMcOQsORkQnuB,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_e9a4GNsvoZJ49mZ,NameResp_TEXT(4),student on break,NameResp_TEXT,4,backpack
R_cAPsFbVcU6FKEpT,NameResp_TEXT(4),people throwing objects,NameResp_TEXT,4,backpack
R_cO0dBs5ofX0BOpT,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_6Yb3oRlkWUQ0xkF,NameResp_TEXT(4),Mailbox,NameResp_TEXT,4,backpack
R_5A3PjLiZbWfA6Tb,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_0cuIBoqJYSnYnLT,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_9KSFfd62afsuieF,NameResp_TEXT(4),penguin,NameResp_TEXT,4,backpack
R_02GRIQd5MDRenPf,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_bjv98vU4STp6zQx,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_9KB1XzOy6rP7O1D,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_eX2Q9p9ZqgsYVLv,NameResp_TEXT(4),backpack,NameResp_TEXT,4,backpack
R_eDMsuefXH4Nvbhz,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_cGTSCS88UP99f0x,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_6ujqTETwTzRExX7,NameResp_TEXT(4),People dancing,NameResp_TEXT,4,backpack
R_1NfgfYV1GvFsWiN,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_0TiNGME0OVqJO3H,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_0ih7r0MXsn7mCSV,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_aWcEn0nidpymQER,NameResp_TEXT(4),train,NameResp_TEXT,4,backpack
R_9FZPEV6r7ezLOSN,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_6zhc96D1g2EpM2h,NameResp_TEXT(4),beards,NameResp_TEXT,4,backpack
R_2a6HPCAFPrB4mIR,NameResp_TEXT(4),,NameResp_TEXT,4,backpack
R_8nQqGUmR9MT1CTP,NameResp_TEXT(5),building,NameResp_TEXT,5,headphones
R_0NWkLPKVngfskaV,NameResp_TEXT(5),rollarcoaster,NameResp_TEXT,5,headphones
R_2tvsWbcRX5R84ap,NameResp_TEXT(5),city overview,NameResp_TEXT,5,headphones
R_1TCKelAGYh94Ppr,NameResp_TEXT(5),,NameResp_TEXT,5,headphones
R_5uoQgdmI1psnW97,NameResp_TEXT(5),houses,NameResp_TEXT,5,headphones
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(5),a town ,NameResp_TEXT,5,headphones
R_03dyKKqahwimd1z,NameResp_TEXT(5),house,NameResp_TEXT,5,headphones
R_4I5pqYdhVgOKFKd,NameResp_TEXT(5),,NameResp_TEXT,5,headphones
R_1EWCq1k7UFauhNj,NameResp_TEXT(5),,NameResp_TEXT,5,headphones
R_81xh6ldt0VxOPHL,NameResp_TEXT(5),,NameResp_TEXT,5,headphones
R_9KLkobZ9kYZSzYh,NameResp_TEXT(5),city,NameResp_TEXT,5,headphones
R_4T9SzDwjzOtlmrX,NameResp_TEXT(5),bridge,NameResp_TEXT,5,headphones
R_eFBfDt4acLjjVQh,NameResp_TEXT(5),,NameResp_TEXT,5,headphones
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(5),House,NameResp_TEXT,5,headphones
R_3jv8dkv5pkIe4f3,NameResp_TEXT(5),houses/building,NameResp_TEXT,5,headphones
R_9NNGTs03HOOrLhz,NameResp_TEXT(5),a group of houses (like you see in Greece) ,NameResp_TEXT,5,headphones
R_9QAIH8o5XKYkAFD,NameResp_TEXT(5),,NameResp_TEXT,5,headphones
R_8hQIw8oM3sZtlUV,NameResp_TEXT(5),face,NameResp_TEXT,5,headphones
R_dbuBKRXlnjouSRD,NameResp_TEXT(5),narwhal,NameResp_TEXT,5,headphones
R_81i04UQTtFxOXlz,NameResp_TEXT(5),,NameResp_TEXT,5,headphones
R_aflUaQ1v901DTZb,NameResp_TEXT(5),a house,NameResp_TEXT,5,headphones
R_8cU5NCG2ysTIeFf,NameResp_TEXT(5),village,NameResp_TEXT,5,headphones
R_9movxfJr3JHx4c5,NameResp_TEXT(5),,NameResp_TEXT,5,headphones
R_6zZuvVsaXiYicmh,NameResp_TEXT(5),dinosaur,NameResp_TEXT,5,headphones
R_7Os34FuyUOKUtAV,NameResp_TEXT(5),city,NameResp_TEXT,5,headphones
R_6tIMcOQsORkQnuB,NameResp_TEXT(5),,NameResp_TEXT,5,headphones
R_e9a4GNsvoZJ49mZ,NameResp_TEXT(5),,NameResp_TEXT,5,headphones
R_cAPsFbVcU6FKEpT,NameResp_TEXT(5),buildings,NameResp_TEXT,5,headphones
R_cO0dBs5ofX0BOpT,NameResp_TEXT(5),man,NameResp_TEXT,5,headphones
R_6Yb3oRlkWUQ0xkF,NameResp_TEXT(5),buildings,NameResp_TEXT,5,headphones
R_5A3PjLiZbWfA6Tb,NameResp_TEXT(5),looks like the presentation clip ad for a production company before a film of a company i forgot the name of ,NameResp_TEXT,5,headphones
R_0cuIBoqJYSnYnLT,NameResp_TEXT(5),,NameResp_TEXT,5,headphones
R_9KSFfd62afsuieF,NameResp_TEXT(5),,NameResp_TEXT,5,headphones
R_02GRIQd5MDRenPf,NameResp_TEXT(5),letter E a lot of times,NameResp_TEXT,5,headphones
R_bjv98vU4STp6zQx,NameResp_TEXT(5),,NameResp_TEXT,5,headphones
R_9KB1XzOy6rP7O1D,NameResp_TEXT(5),house,NameResp_TEXT,5,headphones
R_eX2Q9p9ZqgsYVLv,NameResp_TEXT(5),house ,NameResp_TEXT,5,headphones
R_eDMsuefXH4Nvbhz,NameResp_TEXT(5),,NameResp_TEXT,5,headphones
R_cGTSCS88UP99f0x,NameResp_TEXT(5),,NameResp_TEXT,5,headphones
R_6ujqTETwTzRExX7,NameResp_TEXT(5),rainbow,NameResp_TEXT,5,headphones
R_1NfgfYV1GvFsWiN,NameResp_TEXT(5),,NameResp_TEXT,5,headphones
R_0TiNGME0OVqJO3H,NameResp_TEXT(5),Town,NameResp_TEXT,5,headphones
R_0ih7r0MXsn7mCSV,NameResp_TEXT(5),,NameResp_TEXT,5,headphones
R_aWcEn0nidpymQER,NameResp_TEXT(5),soldier,NameResp_TEXT,5,headphones
R_9FZPEV6r7ezLOSN,NameResp_TEXT(5),dinosaur,NameResp_TEXT,5,headphones
R_6zhc96D1g2EpM2h,NameResp_TEXT(5),houses and a chimney,NameResp_TEXT,5,headphones
R_2a6HPCAFPrB4mIR,NameResp_TEXT(5),,NameResp_TEXT,5,headphones
R_8nQqGUmR9MT1CTP,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_0NWkLPKVngfskaV,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_2tvsWbcRX5R84ap,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_1TCKelAGYh94Ppr,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_5uoQgdmI1psnW97,NameResp_TEXT(6),leaves,NameResp_TEXT,6,stroller
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_03dyKKqahwimd1z,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_4I5pqYdhVgOKFKd,NameResp_TEXT(6),whale,NameResp_TEXT,6,stroller
R_1EWCq1k7UFauhNj,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_81xh6ldt0VxOPHL,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_9KLkobZ9kYZSzYh,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_4T9SzDwjzOtlmrX,NameResp_TEXT(6),binoculars,NameResp_TEXT,6,stroller
R_eFBfDt4acLjjVQh,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_3jv8dkv5pkIe4f3,NameResp_TEXT(6),monsters,NameResp_TEXT,6,stroller
R_9NNGTs03HOOrLhz,NameResp_TEXT(6),Looks like cave art of a battle,NameResp_TEXT,6,stroller
R_9QAIH8o5XKYkAFD,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_8hQIw8oM3sZtlUV,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_dbuBKRXlnjouSRD,NameResp_TEXT(6),hope,NameResp_TEXT,6,stroller
R_81i04UQTtFxOXlz,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_aflUaQ1v901DTZb,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_8cU5NCG2ysTIeFf,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_9movxfJr3JHx4c5,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_6zZuvVsaXiYicmh,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_7Os34FuyUOKUtAV,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_6tIMcOQsORkQnuB,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_e9a4GNsvoZJ49mZ,NameResp_TEXT(6),brawl,NameResp_TEXT,6,stroller
R_cAPsFbVcU6FKEpT,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_cO0dBs5ofX0BOpT,NameResp_TEXT(6),little people,NameResp_TEXT,6,stroller
R_6Yb3oRlkWUQ0xkF,NameResp_TEXT(6),witch,NameResp_TEXT,6,stroller
R_5A3PjLiZbWfA6Tb,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_0cuIBoqJYSnYnLT,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_9KSFfd62afsuieF,NameResp_TEXT(6),bulldog,NameResp_TEXT,6,stroller
R_02GRIQd5MDRenPf,NameResp_TEXT(6),faces,NameResp_TEXT,6,stroller
R_bjv98vU4STp6zQx,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_9KB1XzOy6rP7O1D,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_eX2Q9p9ZqgsYVLv,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_eDMsuefXH4Nvbhz,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_cGTSCS88UP99f0x,NameResp_TEXT(6),fish,NameResp_TEXT,6,stroller
R_6ujqTETwTzRExX7,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_1NfgfYV1GvFsWiN,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_0TiNGME0OVqJO3H,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_0ih7r0MXsn7mCSV,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_aWcEn0nidpymQER,NameResp_TEXT(6),forest,NameResp_TEXT,6,stroller
R_9FZPEV6r7ezLOSN,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_6zhc96D1g2EpM2h,NameResp_TEXT(6),a weird creature in the center,NameResp_TEXT,6,stroller
R_2a6HPCAFPrB4mIR,NameResp_TEXT(6),,NameResp_TEXT,6,stroller
R_8nQqGUmR9MT1CTP,NameResp_TEXT(7),wrench,NameResp_TEXT,7,hammer
R_0NWkLPKVngfskaV,NameResp_TEXT(7),hammer,NameResp_TEXT,7,hammer
R_2tvsWbcRX5R84ap,NameResp_TEXT(7),bat,NameResp_TEXT,7,hammer
R_1TCKelAGYh94Ppr,NameResp_TEXT(7),,NameResp_TEXT,7,hammer
R_5uoQgdmI1psnW97,NameResp_TEXT(7),a log in water,NameResp_TEXT,7,hammer
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(7),,NameResp_TEXT,7,hammer
R_03dyKKqahwimd1z,NameResp_TEXT(7),walking stick,NameResp_TEXT,7,hammer
R_4I5pqYdhVgOKFKd,NameResp_TEXT(7),,NameResp_TEXT,7,hammer
R_1EWCq1k7UFauhNj,NameResp_TEXT(7),,NameResp_TEXT,7,hammer
