subj_id,qual_col,measure,row,Name,TextResp,isCorrect,RT,Conf
R_0NWkLPKVngfskaV,NameResp_TEXT(3),NameResp_TEXT,3,balloon,MLKJ,0,2.134,5
R_2tvsWbcRX5R84ap,NameResp_TEXT(3),NameResp_TEXT,3,balloon,balloon,1,5.798,5
R_1TCKelAGYh94Ppr,NameResp_TEXT(3),NameResp_TEXT,3,balloon,,0,,
R_5uoQgdmI1psnW97,NameResp_TEXT(3),NameResp_TEXT,3,balloon,,0,,
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(3),NameResp_TEXT,3,balloon,a cowboy kicking up dust with his vehicle,0,38.056,8
R_03dyKKqahwimd1z,NameResp_TEXT(3),NameResp_TEXT,3,balloon,balloon,1,4.485,7
R_4I5pqYdhVgOKFKd,NameResp_TEXT(3),NameResp_TEXT,3,balloon,person's face,0,9.683,3
R_1EWCq1k7UFauhNj,NameResp_TEXT(3),NameResp_TEXT,3,balloon,,0,1.83,
R_81xh6ldt0VxOPHL,NameResp_TEXT(3),NameResp_TEXT,3,balloon,,0,3.199,
R_9KLkobZ9kYZSzYh,NameResp_TEXT(3),NameResp_TEXT,3,balloon,,0,2.146,
R_4T9SzDwjzOtlmrX,NameResp_TEXT(3),NameResp_TEXT,3,balloon,balloon,1,4.863,3
R_eFBfDt4acLjjVQh,NameResp_TEXT(3),NameResp_TEXT,3,balloon,,0,10.179,
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(3),NameResp_TEXT,3,balloon,,0,11.266,
R_3jv8dkv5pkIe4f3,NameResp_TEXT(3),NameResp_TEXT,3,balloon,skull,0,6.376,3
R_9NNGTs03HOOrLhz,NameResp_TEXT(3),NameResp_TEXT,3,balloon,the devil,0,2.59,5
R_9QAIH8o5XKYkAFD,NameResp_TEXT(3),NameResp_TEXT,3,balloon,person,0,2.466,3
R_8hQIw8oM3sZtlUV,NameResp_TEXT(3),NameResp_TEXT,3,balloon,,0,4.227,
R_dbuBKRXlnjouSRD,NameResp_TEXT(3),NameResp_TEXT,3,balloon,gold,0,2.464,5
R_81i04UQTtFxOXlz,NameResp_TEXT(3),NameResp_TEXT,3,balloon,,0,7.332,
R_aflUaQ1v901DTZb,NameResp_TEXT(3),NameResp_TEXT,3,balloon,balloon,1,2.792,7
R_8cU5NCG2ysTIeFf,NameResp_TEXT(3),NameResp_TEXT,3,balloon,dog and flowers,0,3.092,6
R_8nQqGUmR9MT1CTP,NameResp_TEXT(4),NameResp_TEXT,4,backpack,,0,8.109,
R_0NWkLPKVngfskaV,NameResp_TEXT(4),NameResp_TEXT,4,backpack,moped,0,2.559,8
R_2tvsWbcRX5R84ap,NameResp_TEXT(4),NameResp_TEXT,4,backpack,backpack,1,2.876,5
R_1TCKelAGYh94Ppr,NameResp_TEXT(4),NameResp_TEXT,4,backpack,,0,,
R_5uoQgdmI1psnW97,NameResp_TEXT(4),NameResp_TEXT,4,backpack,,0,,
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(4),NameResp_TEXT,4,backpack,"cars, traffic jam",0,8.531,7
R_03dyKKqahwimd1z,NameResp_TEXT(4),NameResp_TEXT,4,backpack,house,0,12.824,6
R_4I5pqYdhVgOKFKd,NameResp_TEXT(4),NameResp_TEXT,4,backpack,,0,,
R_1EWCq1k7UFauhNj,NameResp_TEXT(4),NameResp_TEXT,4,backpack,,0,3.236,
R_81xh6ldt0VxOPHL,NameResp_TEXT(4),NameResp_TEXT,4,backpack,backpack,1,2.307,7
R_9KLkobZ9kYZSzYh,NameResp_TEXT(4),NameResp_TEXT,4,backpack,car seat,0,2.029,3
R_4T9SzDwjzOtlmrX,NameResp_TEXT(4),NameResp_TEXT,4,backpack,,0,7.647,
R_eFBfDt4acLjjVQh,NameResp_TEXT(4),NameResp_TEXT,4,backpack,backpack,1,9.717,7
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(4),NameResp_TEXT,4,backpack,,0,35.014,
R_3jv8dkv5pkIe4f3,NameResp_TEXT(4),NameResp_TEXT,4,backpack,backpack ,0,6.149,3
R_9NNGTs03HOOrLhz,NameResp_TEXT(4),NameResp_TEXT,4,backpack,a city in the night sky,0,4.196,4
R_9QAIH8o5XKYkAFD,NameResp_TEXT(4),NameResp_TEXT,4,backpack,person,0,3.908,2
R_8hQIw8oM3sZtlUV,NameResp_TEXT(4),NameResp_TEXT,4,backpack,,0,3.796,
R_dbuBKRXlnjouSRD,NameResp_TEXT(4),NameResp_TEXT,4,backpack,backpack,1,2.545,5
R_81i04UQTtFxOXlz,NameResp_TEXT(4),NameResp_TEXT,4,backpack,,0,3.439,
R_aflUaQ1v901DTZb,NameResp_TEXT(4),NameResp_TEXT,4,backpack,doorway,0,9.897,4
R_8cU5NCG2ysTIeFf,NameResp_TEXT(4),NameResp_TEXT,4,backpack,train,0,3.47,6
R_8nQqGUmR9MT1CTP,NameResp_TEXT(5),NameResp_TEXT,5,headphones,building,0,2.477,3
R_0NWkLPKVngfskaV,NameResp_TEXT(5),NameResp_TEXT,5,headphones,rollarcoaster,0,2.48,2
R_2tvsWbcRX5R84ap,NameResp_TEXT(5),NameResp_TEXT,5,headphones,city overview,0,3.562,5
R_1TCKelAGYh94Ppr,NameResp_TEXT(5),NameResp_TEXT,5,headphones,,0,,
R_5uoQgdmI1psnW97,NameResp_TEXT(5),NameResp_TEXT,5,headphones,houses,0,4.01,7
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(5),NameResp_TEXT,5,headphones,a town ,0,8.45,7
R_03dyKKqahwimd1z,NameResp_TEXT(5),NameResp_TEXT,5,headphones,house,0,6.71,7
R_4I5pqYdhVgOKFKd,NameResp_TEXT(5),NameResp_TEXT,5,headphones,,0,,
R_1EWCq1k7UFauhNj,NameResp_TEXT(5),NameResp_TEXT,5,headphones,,0,1.765,
R_81xh6ldt0VxOPHL,NameResp_TEXT(5),NameResp_TEXT,5,headphones,,0,2.176,
R_9KLkobZ9kYZSzYh,NameResp_TEXT(5),NameResp_TEXT,5,headphones,city,0,1.684,6
R_4T9SzDwjzOtlmrX,NameResp_TEXT(5),NameResp_TEXT,5,headphones,bridge,0,3.55,3
R_eFBfDt4acLjjVQh,NameResp_TEXT(5),NameResp_TEXT,5,headphones,,0,9.604,
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(5),NameResp_TEXT,5,headphones,House,0,5.352,4
R_3jv8dkv5pkIe4f3,NameResp_TEXT(5),NameResp_TEXT,5,headphones,houses/building,0,15.623,4
R_9NNGTs03HOOrLhz,NameResp_TEXT(5),NameResp_TEXT,5,headphones,a group of houses (like you see in Greece) ,0,2.407,5
R_9QAIH8o5XKYkAFD,NameResp_TEXT(5),NameResp_TEXT,5,headphones,,0,5.696,
R_8hQIw8oM3sZtlUV,NameResp_TEXT(5),NameResp_TEXT,5,headphones,face,0,5.738,2
R_dbuBKRXlnjouSRD,NameResp_TEXT(5),NameResp_TEXT,5,headphones,narwhal,0,2.244,5
R_81i04UQTtFxOXlz,NameResp_TEXT(5),NameResp_TEXT,5,headphones,,0,3.234,
R_aflUaQ1v901DTZb,NameResp_TEXT(5),NameResp_TEXT,5,headphones,a house,0,4.787,4
R_8cU5NCG2ysTIeFf,NameResp_TEXT(5),NameResp_TEXT,5,headphones,village,0,2.945,7
R_8nQqGUmR9MT1CTP,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0,12.862,
R_0NWkLPKVngfskaV,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0,3.537,
R_2tvsWbcRX5R84ap,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0,22.209,
R_1TCKelAGYh94Ppr,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0,,
R_5uoQgdmI1psnW97,NameResp_TEXT(6),NameResp_TEXT,6,stroller,leaves,0,3.777,6
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0,,
R_03dyKKqahwimd1z,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0,5.636,
R_4I5pqYdhVgOKFKd,NameResp_TEXT(6),NameResp_TEXT,6,stroller,whale,0,28.283,3
R_1EWCq1k7UFauhNj,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0,2.836,
R_81xh6ldt0VxOPHL,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0,3.239,
R_9KLkobZ9kYZSzYh,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0,3.026,
R_4T9SzDwjzOtlmrX,NameResp_TEXT(6),NameResp_TEXT,6,stroller,binoculars,0,9.057,2
R_eFBfDt4acLjjVQh,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0,2.582,
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0,8.999,
R_3jv8dkv5pkIe4f3,NameResp_TEXT(6),NameResp_TEXT,6,stroller,monsters,0,15.502,3
R_9NNGTs03HOOrLhz,NameResp_TEXT(6),NameResp_TEXT,6,stroller,Looks like cave art of a battle,0,2.899,4
R_9QAIH8o5XKYkAFD,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0,6.523,
R_8hQIw8oM3sZtlUV,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0,1.991,
R_dbuBKRXlnjouSRD,NameResp_TEXT(6),NameResp_TEXT,6,stroller,hope,0,1.764,5
R_81i04UQTtFxOXlz,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0,4.082,
R_aflUaQ1v901DTZb,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0,5.181,
R_8cU5NCG2ysTIeFf,NameResp_TEXT(6),NameResp_TEXT,6,stroller,,0,3.854,
R_8nQqGUmR9MT1CTP,NameResp_TEXT(7),NameResp_TEXT,7,hammer,wrench,0,3.041,6
R_0NWkLPKVngfskaV,NameResp_TEXT(7),NameResp_TEXT,7,hammer,hammer,1,2.217,8
R_2tvsWbcRX5R84ap,NameResp_TEXT(7),NameResp_TEXT,7,hammer,bat,0,6.654,5
R_1TCKelAGYh94Ppr,NameResp_TEXT(7),NameResp_TEXT,7,hammer,,0,,
R_5uoQgdmI1psnW97,NameResp_TEXT(7),NameResp_TEXT,7,hammer,a log in water,0,5.839,5
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(7),NameResp_TEXT,7,hammer,,0,,
R_03dyKKqahwimd1z,NameResp_TEXT(7),NameResp_TEXT,7,hammer,walking stick,0,6.24,6
R_4I5pqYdhVgOKFKd,NameResp_TEXT(7),NameResp_TEXT,7,hammer,,0,,
R_1EWCq1k7UFauhNj,NameResp_TEXT(7),NameResp_TEXT,7,hammer,,0,1.532,
R_81xh6ldt0VxOPHL,NameResp_TEXT(7),NameResp_TEXT,7,hammer,hammer,1,1.77,8
R_9KLkobZ9kYZSzYh,NameResp_TEXT(7),NameResp_TEXT,7,hammer,metal rod,0,1.758,5
R_4T9SzDwjzOtlmrX,NameResp_TEXT(7),NameResp_TEXT,7,hammer,hammer,1,4.997,6
R_eFBfDt4acLjjVQh,NameResp_TEXT(7),NameResp_TEXT,7,hammer,hammer,1,3.237,8
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(7),NameResp_TEXT,7,hammer,Flashlight,0,6.287,4
R_3jv8dkv5pkIe4f3,NameResp_TEXT(7),NameResp_TEXT,7,hammer,cane,0,7.156,5
R_9NNGTs03HOOrLhz,NameResp_TEXT(7),NameResp_TEXT,7,hammer,hammer,1,4.871,7
R_9QAIH8o5XKYkAFD,NameResp_TEXT(7),NameResp_TEXT,7,hammer,hammer,1,8.553,6
R_8hQIw8oM3sZtlUV,NameResp_TEXT(7),NameResp_TEXT,7,hammer,hammer,1,1.99,7
R_dbuBKRXlnjouSRD,NameResp_TEXT(7),NameResp_TEXT,7,hammer,hammer,1,2.08,5
R_81i04UQTtFxOXlz,NameResp_TEXT(7),NameResp_TEXT,7,hammer,hammer ,0,3.196,8
R_aflUaQ1v901DTZb,NameResp_TEXT(7),NameResp_TEXT,7,hammer,hammer,1,2.794,8
R_8cU5NCG2ysTIeFf,NameResp_TEXT(7),NameResp_TEXT,7,hammer,,0,3.002,
R_8nQqGUmR9MT1CTP,NameResp_TEXT(8),NameResp_TEXT,8,camera,camera,1,2.07,7
R_0NWkLPKVngfskaV,NameResp_TEXT(8),NameResp_TEXT,8,camera,camera,1,1.507,7
R_2tvsWbcRX5R84ap,NameResp_TEXT(8),NameResp_TEXT,8,camera,camera,1,1.607,6
R_1TCKelAGYh94Ppr,NameResp_TEXT(8),NameResp_TEXT,8,camera,,0,,
R_5uoQgdmI1psnW97,NameResp_TEXT(8),NameResp_TEXT,8,camera,,0,,
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(8),NameResp_TEXT,8,camera,,0,,
R_03dyKKqahwimd1z,NameResp_TEXT(8),NameResp_TEXT,8,camera,,0,10.854,
R_4I5pqYdhVgOKFKd,NameResp_TEXT(8),NameResp_TEXT,8,camera,camera,1,1.569,8
R_1EWCq1k7UFauhNj,NameResp_TEXT(8),NameResp_TEXT,8,camera,,0,1.911,
R_81xh6ldt0VxOPHL,NameResp_TEXT(8),NameResp_TEXT,8,camera,camera,1,1.486,8
R_9KLkobZ9kYZSzYh,NameResp_TEXT(8),NameResp_TEXT,8,camera,camera,1,1.597,8
R_4T9SzDwjzOtlmrX,NameResp_TEXT(8),NameResp_TEXT,8,camera,camera,1,1.787,7
R_eFBfDt4acLjjVQh,NameResp_TEXT(8),NameResp_TEXT,8,camera,camera,1,1.932,8
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(8),NameResp_TEXT,8,camera,camera,1,2.067,5
R_3jv8dkv5pkIe4f3,NameResp_TEXT(8),NameResp_TEXT,8,camera,camera,1,2.022,4
R_9NNGTs03HOOrLhz,NameResp_TEXT(8),NameResp_TEXT,8,camera,camera,1,2.807,6
R_9QAIH8o5XKYkAFD,NameResp_TEXT(8),NameResp_TEXT,8,camera,camera,1,3.402,6
R_8hQIw8oM3sZtlUV,NameResp_TEXT(8),NameResp_TEXT,8,camera,,0,3.664,
R_dbuBKRXlnjouSRD,NameResp_TEXT(8),NameResp_TEXT,8,camera,camera,1,5.983,5
R_81i04UQTtFxOXlz,NameResp_TEXT(8),NameResp_TEXT,8,camera,camera ,0,4.705,8
R_aflUaQ1v901DTZb,NameResp_TEXT(8),NameResp_TEXT,8,camera,camera,1,2.114,7
R_8cU5NCG2ysTIeFf,NameResp_TEXT(8),NameResp_TEXT,8,camera,camera,1,2.521,6
R_8nQqGUmR9MT1CTP,NameResp_TEXT(9),NameResp_TEXT,9,airplane,,0,3.77,
R_0NWkLPKVngfskaV,NameResp_TEXT(9),NameResp_TEXT,9,airplane,,0,1.866,
R_2tvsWbcRX5R84ap,NameResp_TEXT(9),NameResp_TEXT,9,airplane,,0,58.354,
R_1TCKelAGYh94Ppr,NameResp_TEXT(9),NameResp_TEXT,9,airplane,,0,,
R_5uoQgdmI1psnW97,NameResp_TEXT(9),NameResp_TEXT,9,airplane,a man singing along with a record player,0,5.757,5
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(9),NameResp_TEXT,9,airplane,cat with kittens,0,26.375,6
R_03dyKKqahwimd1z,NameResp_TEXT(9),NameResp_TEXT,9,airplane,clown,0,12.623,6
R_4I5pqYdhVgOKFKd,NameResp_TEXT(9),NameResp_TEXT,9,airplane,,0,,
R_1EWCq1k7UFauhNj,NameResp_TEXT(9),NameResp_TEXT,9,airplane,,0,1.51,
R_81xh6ldt0VxOPHL,NameResp_TEXT(9),NameResp_TEXT,9,airplane,,0,4.736,
R_9KLkobZ9kYZSzYh,NameResp_TEXT(9),NameResp_TEXT,9,airplane,,0,16.385,
R_4T9SzDwjzOtlmrX,NameResp_TEXT(9),NameResp_TEXT,9,airplane,aliens,0,0.004,3
R_eFBfDt4acLjjVQh,NameResp_TEXT(9),NameResp_TEXT,9,airplane,,0,2.166,
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(9),NameResp_TEXT,9,airplane,,0,10.208,
R_3jv8dkv5pkIe4f3,NameResp_TEXT(9),NameResp_TEXT,9,airplane,fetus,0,7.604,3
R_9NNGTs03HOOrLhz,NameResp_TEXT(9),NameResp_TEXT,9,airplane,The green typical aliens you would see in cartoons,0,2.003,5
R_9QAIH8o5XKYkAFD,NameResp_TEXT(9),NameResp_TEXT,9,airplane,,0,5.876,
R_8hQIw8oM3sZtlUV,NameResp_TEXT(9),NameResp_TEXT,9,airplane,,0,1.657,
R_dbuBKRXlnjouSRD,NameResp_TEXT(9),NameResp_TEXT,9,airplane,chicken death,0,2.899,5
R_81i04UQTtFxOXlz,NameResp_TEXT(9),NameResp_TEXT,9,airplane,,0,12.229,
R_aflUaQ1v901DTZb,NameResp_TEXT(9),NameResp_TEXT,9,airplane,,0,3.732,
R_8cU5NCG2ysTIeFf,NameResp_TEXT(9),NameResp_TEXT,9,airplane,,0,5.281,
R_8nQqGUmR9MT1CTP,NameResp_TEXT(10),NameResp_TEXT,10,socks,socks,1,5.085,5
R_0NWkLPKVngfskaV,NameResp_TEXT(10),NameResp_TEXT,10,socks,zebra,0,2.348,3
R_2tvsWbcRX5R84ap,NameResp_TEXT(10),NameResp_TEXT,10,socks,,0,12.782,
R_1TCKelAGYh94Ppr,NameResp_TEXT(10),NameResp_TEXT,10,socks,,0,,
R_5uoQgdmI1psnW97,NameResp_TEXT(10),NameResp_TEXT,10,socks,a park,0,3.948,6
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(10),NameResp_TEXT,10,socks,,0,,
R_03dyKKqahwimd1z,NameResp_TEXT(10),NameResp_TEXT,10,socks,socks,1,5.242,7
R_4I5pqYdhVgOKFKd,NameResp_TEXT(10),NameResp_TEXT,10,socks,socks,1,2.84,7
R_1EWCq1k7UFauhNj,NameResp_TEXT(10),NameResp_TEXT,10,socks,,0,1.536,
R_81xh6ldt0VxOPHL,NameResp_TEXT(10),NameResp_TEXT,10,socks,,0,2.5,
R_9KLkobZ9kYZSzYh,NameResp_TEXT(10),NameResp_TEXT,10,socks,socks,1,1.716,8
R_4T9SzDwjzOtlmrX,NameResp_TEXT(10),NameResp_TEXT,10,socks,lawn chairs,0,4.012,4
R_eFBfDt4acLjjVQh,NameResp_TEXT(10),NameResp_TEXT,10,socks,,0,4.324,
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(10),NameResp_TEXT,10,socks,,0,6.556,
R_3jv8dkv5pkIe4f3,NameResp_TEXT(10),NameResp_TEXT,10,socks,socks,1,4.733,4
R_9NNGTs03HOOrLhz,NameResp_TEXT(10),NameResp_TEXT,10,socks,two beach benches people lay out on,0,2.054,6
R_9QAIH8o5XKYkAFD,NameResp_TEXT(10),NameResp_TEXT,10,socks,beach chairs,0,3.11,4
R_8hQIw8oM3sZtlUV,NameResp_TEXT(10),NameResp_TEXT,10,socks,,0,5.345,
R_dbuBKRXlnjouSRD,NameResp_TEXT(10),NameResp_TEXT,10,socks,socks,1,2.187,5
R_81i04UQTtFxOXlz,NameResp_TEXT(10),NameResp_TEXT,10,socks,two snails side by side ,0,13.618,6
R_aflUaQ1v901DTZb,NameResp_TEXT(10),NameResp_TEXT,10,socks,person playing piano,0,18.191,5
R_8cU5NCG2ysTIeFf,NameResp_TEXT(10),NameResp_TEXT,10,socks,lobsters,0,23.709,6
R_8nQqGUmR9MT1CTP,NameResp_TEXT(11),NameResp_TEXT,11,glove,,0,4.446,
R_0NWkLPKVngfskaV,NameResp_TEXT(11),NameResp_TEXT,11,glove,man,0,1.696,2
R_2tvsWbcRX5R84ap,NameResp_TEXT(11),NameResp_TEXT,11,glove,,0,9.102,
R_1TCKelAGYh94Ppr,NameResp_TEXT(11),NameResp_TEXT,11,glove,,0,,
R_5uoQgdmI1psnW97,NameResp_TEXT(11),NameResp_TEXT,11,glove,,0,,
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(11),NameResp_TEXT,11,glove,a dog again,0,6.335,7
R_03dyKKqahwimd1z,NameResp_TEXT(11),NameResp_TEXT,11,glove,alligator,0,22.745,3
R_4I5pqYdhVgOKFKd,NameResp_TEXT(11),NameResp_TEXT,11,glove,,0,0.037,
R_1EWCq1k7UFauhNj,NameResp_TEXT(11),NameResp_TEXT,11,glove,,0,1.737,
R_81xh6ldt0VxOPHL,NameResp_TEXT(11),NameResp_TEXT,11,glove,,0,2.836,
R_9KLkobZ9kYZSzYh,NameResp_TEXT(11),NameResp_TEXT,11,glove,,0,5.407,
R_4T9SzDwjzOtlmrX,NameResp_TEXT(11),NameResp_TEXT,11,glove,,0,5.455,
R_eFBfDt4acLjjVQh,NameResp_TEXT(11),NameResp_TEXT,11,glove,pizza,0,3.365,3
R_d6Dq6Kyn36MTAJ7,NameResp_TEXT(11),NameResp_TEXT,11,glove,,0,9.073,
R_3jv8dkv5pkIe4f3,NameResp_TEXT(11),NameResp_TEXT,11,glove,,0,17.368,
R_9NNGTs03HOOrLhz,NameResp_TEXT(11),NameResp_TEXT,11,glove,,0,3.729,
R_9QAIH8o5XKYkAFD,NameResp_TEXT(11),NameResp_TEXT,11,glove,,0,3.072,
R_8hQIw8oM3sZtlUV,NameResp_TEXT(11),NameResp_TEXT,11,glove,,0,6.034,
R_dbuBKRXlnjouSRD,NameResp_TEXT(11),NameResp_TEXT,11,glove,glove,1,1.742,5
R_81i04UQTtFxOXlz,NameResp_TEXT(11),NameResp_TEXT,11,glove,,0,2.38,
R_aflUaQ1v901DTZb,NameResp_TEXT(11),NameResp_TEXT,11,glove,,0,6.244,
R_8cU5NCG2ysTIeFf,NameResp_TEXT(11),NameResp_TEXT,11,glove,,0,3.332,
R_8nQqGUmR9MT1CTP,NameResp_TEXT(12),NameResp_TEXT,12,cake,cake,1,3.226,4
R_0NWkLPKVngfskaV,NameResp_TEXT(12),NameResp_TEXT,12,cake,leaf,0,2.749,5
R_2tvsWbcRX5R84ap,NameResp_TEXT(12),NameResp_TEXT,12,cake,sun,0,4.16,2
R_1TCKelAGYh94Ppr,NameResp_TEXT(12),NameResp_TEXT,12,cake,,0,,
R_5uoQgdmI1psnW97,NameResp_TEXT(12),NameResp_TEXT,12,cake,,0,,
R_2aVo1rAUKgNJ8VL,NameResp_TEXT(12),NameResp_TEXT,12,cake,,0,,
R_03dyKKqahwimd1z,NameResp_TEXT(12),NameResp_TEXT,12,cake,,0,14.4,
R_4I5pqYdhVgOKFKd,NameResp_TEXT(12),NameResp_TEXT,12,cake,,0,,
R_1EWCq1k7UFauhNj,NameResp_TEXT(12),NameResp_TEXT,12,cake,,0,1.469,
R_81xh6ldt0VxOPHL,NameResp_TEXT(12),NameResp_TEXT,12,cake,hat,0,4.756,2
R_9KLkobZ9kYZSzYh,NameResp_TEXT(12),NameResp_TEXT,12,cake,cake,1,1.649,5
R_4T9SzDwjzOtlmrX,NameResp_TEXT(12),NameResp_TEXT,12,cake,donut,0,4.121,4
